university,OPEID6,UNITID,INSTNM,CONTROL,MAIN,CIPCODE,CIPDESC,CREDLEV,CREDDESC,EARN_COUNT_NWNE_HI_1YR,EARN_CNTOVER150_HI_1YR,EARN_COUNT_WNE_HI_1YR,EARN_MDN_HI_1YR,EARN_COUNT_NWNE_HI_2YR,EARN_CNTOVER150_HI_2YR,EARN_COUNT_WNE_HI_2YR,EARN_MDN_HI_2YR,EARN_COUNT_PELL_WNE_1YR,EARN_PELL_WNE_MDN_1YR,EARN_COUNT_NOPELL_WNE_1YR,EARN_NOPELL_WNE_MDN_1YR,EARN_COUNT_MALE_WNE_1YR,EARN_MALE_WNE_MDN_1YR,EARN_COUNT_NOMALE_WNE_1YR,EARN_NOMALE_WNE_MDN_1YR,EARN_COUNT_NE_3YR,EARN_NE_MDN_3YR,EARN_COUNT_WNE_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_PELL_NE_3YR,EARN_PELL_NE_MDN_3YR,EARN_COUNT_NOPELL_NE_3YR,EARN_NOPELL_NE_MDN_3YR,EARN_COUNT_MALE_NE_3YR,EARN_MALE_NE_MDN_3YR,EARN_COUNT_NOMALE_NE_3YR,EARN_NOMALE_NE_MDN_3YR,EARN_COUNT_NWNE_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_GT_THRESHOLD_1YR,EARN_COUNT_HIGH_CRED_1YR,EARN_IN_STATE_1YR,EARN_COUNT_NWNE_4YR,EARN_COUNT_WNE_4YR,EARN_MDN_4YR,EARN_GT_THRESHOLD_4YR,EARN_COUNT_PELL_WNE_4YR,EARN_PELL_WNE_MDN_4YR,EARN_COUNT_NOPELL_WNE_4YR,EARN_NOPELL_WNE_MDN_4YR,EARN_COUNT_MALE_WNE_4YR,EARN_MALE_WNE_MDN_4YR,EARN_COUNT_NOMALE_WNE_4YR,EARN_NOMALE_WNE_MDN_4YR,EARN_COUNT_HIGH_CRED_4YR,EARN_IN_STATE_4YR
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1002,Audiovisual Communications Technologies/Technicians.,3,Bachelor's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1003,Graphic Communications.,3,Bachelor's Degree,4,19,24,40362,3,18,23,54713,23,51688,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,2,24,48703,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,2,23,74650,PrivacySuppressed,22,68086,PrivacySuppressed,PrivacySuppressed,16,80576,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1101,"Computer and Information Sciences, General.",3,Bachelor's Degree,4,82,84,71754,3,109,111,76460,52,71777,PrivacySuppressed,PrivacySuppressed,52,72046,PrivacySuppressed,PrivacySuppressed,112,88329,109,108,109,88926,PrivacySuppressed,PrivacySuppressed,109,87941,PrivacySuppressed,PrivacySuppressed,2,55,71979,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0,110,102563,PrivacySuppressed,106,102461,PrivacySuppressed,PrivacySuppressed,107,102215,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,51
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1107,Computer Science.,3,Bachelor's Degree,7,111,116,82667,3,98,99,83848,121,84192,PrivacySuppressed,PrivacySuppressed,115,86593,PrivacySuppressed,PrivacySuppressed,101,99723,96,91,98,99564,PrivacySuppressed,PrivacySuppressed,97,99486,PrivacySuppressed,PrivacySuppressed,5,126,86469,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3,100,114046,PrivacySuppressed,98,111994,PrivacySuppressed,PrivacySuppressed,97,112261,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,57
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1108,Computer Software and Media Applications.,3,Bachelor's Degree,1,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1110,Computer/Information Technology Administration and Management.,3,Bachelor's Degree,0,24,25,69188,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,63,73946,PrivacySuppressed,PrivacySuppressed,56,74783,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3,66,73624,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1306,"Educational Assessment, Evaluation, and Research.",3,Bachelor's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1310,Special Education and Teaching.,3,Bachelor's Degree,2,16,19,38021,7,17,21,32569,17,42404,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,2,21,43375,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,7,22,36162,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,20,30266,PrivacySuppressed,PrivacySuppressed
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",3,Bachelor's Degree,20,46,67,36102,17,69,96,29689,52,33118,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,49,34067,109,10379,75,49,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,104,7342,15,55,39074,31,PrivacySuppressed,PrivacySuppressed,47,64,36968,35,59,39516,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,58,33490,PrivacySuppressed,35
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1313,"Teacher Education and Professional Development, Specific Subject Areas.",3,Bachelor's Degree,21,129,151,39856,18,153,186,38128,144,41917,PrivacySuppressed,PrivacySuppressed,34,46955,120,40130,190,33834,156,113,181,32177,PrivacySuppressed,PrivacySuppressed,47,48993,PrivacySuppressed,PrivacySuppressed,22,154,42659,105,PrivacySuppressed,PrivacySuppressed,47,139,41473,91,134,41472,PrivacySuppressed,PrivacySuppressed,39,53657,102,33505,PrivacySuppressed,87
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1407,Chemical Engineering.,3,Bachelor's Degree,3,70,73,67199,5,91,95,76460,88,71846,PrivacySuppressed,PrivacySuppressed,73,77041,19,63075,90,86347,83,79,86,86514,PrivacySuppressed,PrivacySuppressed,78,87932,PrivacySuppressed,PrivacySuppressed,5,92,71134,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9,77,99093,PrivacySuppressed,74,99240,PrivacySuppressed,PrivacySuppressed,71,99912,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,26
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1408,Civil Engineering.,3,Bachelor's Degree,2,37,36,60309,4,44,48,58221,38,64844,PrivacySuppressed,PrivacySuppressed,28,63017,PrivacySuppressed,PrivacySuppressed,61,68405,45,45,60,68289,PrivacySuppressed,PrivacySuppressed,51,70389,PrivacySuppressed,PrivacySuppressed,0,39,64584,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,8,60,73327,PrivacySuppressed,59,73416,PrivacySuppressed,PrivacySuppressed,53,73931,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,25
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1409,Computer Engineering.,3,Bachelor's Degree,0,20,23,74326,1,27,27,87604,18,80083,PrivacySuppressed,PrivacySuppressed,17,80160,PrivacySuppressed,PrivacySuppressed,26,103770,23,22,25,102963,PrivacySuppressed,PrivacySuppressed,26,107563,PrivacySuppressed,PrivacySuppressed,1,18,79784,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,2,26,127592,PrivacySuppressed,26,126344,PrivacySuppressed,PrivacySuppressed,26,128108,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Brigham Young University,3670,230038.0,Brigham Young University,"Private, nonprofit",1,1410,"Electrical, Electronics and Communications Engineering.",3,Bachelor's Degree,0,30,32,66731,0,45,47,71351,30,75091,PrivacySuppressed,PrivacySuppressed,30,75949,PrivacySuppressed,PrivacySuppressed,49,76659,47,46,47,77119,PrivacySuppressed,PrivacySuppressed,47,78494,PrivacySuppressed,PrivacySuppressed,5,31,75488,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3,49,95202,PrivacySuppressed,46,92705,PrivacySuppressed,PrivacySuppressed,47,98834,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,21
