INSTNM,OPEID6,CONTROL,MAIN,CIPDEF,CIPFIELD,CIPCODE,CREDLEV,EARN_COUNT_NWNE_HI_1YR,EARN_CNTOVER150_HI_1YR,EARN_COUNT_WNE_HI_1YR,EARN_MDN_HI_1YR,EARN_COUNT_NWNE_HI_2YR,EARN_CNTOVER150_HI_2YR,EARN_COUNT_WNE_HI_2YR,EARN_MDN_HI_2YR,EARN_COUNT_PELL_WNE_1YR,EARN_PELL_WNE_MDN_1YR,EARN_COUNT_NOPELL_WNE_1YR,EARN_NOPELL_WNE_MDN_1YR,EARN_COUNT_MALE_WNE_1YR,EARN_MALE_WNE_MDN_1YR,EARN_COUNT_NOMALE_WNE_1YR,EARN_NOMALE_WNE_MDN_1YR,EARN_COUNT_NE_3YR,EARN_NE_MDN_3YR,EARN_COUNT_WNE_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_PELL_NE_3YR,EARN_PELL_NE_MDN_3YR,EARN_COUNT_NOPELL_NE_3YR,EARN_NOPELL_NE_MDN_3YR,EARN_COUNT_MALE_NE_3YR,EARN_MALE_NE_MDN_3YR,EARN_COUNT_NOMALE_NE_3YR,EARN_NOMALE_NE_MDN_3YR,EARN_COUNT_NWNE_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_GT_THRESHOLD_1YR,EARN_COUNT_HIGH_CRED_1YR,EARN_IN_STATE_1YR,EARN_COUNT_NWNE_4YR,EARN_COUNT_WNE_4YR,EARN_MDN_4YR,EARN_GT_THRESHOLD_4YR,EARN_COUNT_PELL_WNE_4YR,EARN_PELL_WNE_MDN_4YR,EARN_COUNT_NOPELL_WNE_4YR,EARN_NOPELL_WNE_MDN_4YR,EARN_COUNT_MALE_WNE_4YR,EARN_MALE_WNE_MDN_4YR,EARN_COUNT_NOMALE_WNE_4YR,EARN_NOMALE_WNE_MDN_4YR,EARN_COUNT_HIGH_CRED_4YR,EARN_IN_STATE_4YR
Brigham Young University,3670,"Private, nonprofit",1,MULTI/INTERDISCIPLINARY STUDIES.,30,3019,3,2.0,,,,3.0,6.0,13.0,17162.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,"PARKS, RECREATION, LEISURE, FITNESS, AND KINESIOLOGY.",31,3101,3,2.0,50.0,61.0,42900.0,10.0,46.0,59.0,35060.0,83.0,48746.0,,,25.0,50910.0,62.0,43319.0,73.0,41299.0,55.0,43.0,66.0,36502.0,,,26.0,51804.0,,,5.0,87.0,45748.0,62.0,,,10.0,64.0,51688.0,44.0,57.0,49874.0,,,27.0,59562.0,36.0,41785.0,,42.0
Brigham Young University,3670,"Private, nonprofit",1,"PARKS, RECREATION, LEISURE, FITNESS, AND KINESIOLOGY.",31,3105,3,20.0,60.0,97.0,24435.0,17.0,52.0,89.0,22130.0,110.0,22365.0,,,19.0,41630.0,103.0,22155.0,108.0,9614.0,66.0,38.0,100.0,9440.0,,,20.0,54634.0,89.0,4028.0,27.0,122.0,23297.0,41.0,,,36.0,74.0,25700.0,33.0,66.0,23003.0,,,19.0,51603.0,,,,37.0
Brigham Young University,3670,"Private, nonprofit",1,"PARKS, RECREATION, LEISURE, FITNESS, AND KINESIOLOGY.",31,3199,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,PHILOSOPHY AND RELIGIOUS STUDIES.,38,3801,3,2.0,,,,2.0,11.0,18.0,27439.0,,,,,,,,,21.0,39125.0,16.0,,17.0,50098.0,,,,,,,1.0,,,,,,2.0,20.0,38332.0,,18.0,37834.0,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,PHYSICAL SCIENCES.,40,4002,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,PHYSICAL SCIENCES.,40,4005,3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,5.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,PHYSICAL SCIENCES.,40,4006,3,1.0,,,,0.0,9.0,13.0,24035.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,17.0,62441.0,,18.0,65346.0,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,PHYSICAL SCIENCES.,40,4008,3,2.0,,16.0,40730.0,0.0,21.0,22.0,52733.0,16.0,64647.0,,,,,,,,,,,,,,,,,,,0.0,18.0,65065.0,,,,1.0,22.0,76268.0,,20.0,76196.0,,,19.0,75814.0,,,,
Brigham Young University,3670,"Private, nonprofit",1,PSYCHOLOGY.,42,4201,3,12.0,85.0,130.0,24482.0,21.0,89.0,144.0,23906.0,141.0,29936.0,,,68.0,34737.0,91.0,25755.0,158.0,26284.0,105.0,74.0,131.0,26017.0,25.0,31923.0,55.0,48016.0,102.0,12505.0,25.0,158.0,30691.0,71.0,,,38.0,135.0,44664.0,88.0,115.0,43934.0,19.0,50036.0,61.0,56184.0,75.0,36018.0,36.0,72.0
Brigham Young University,3670,"Private, nonprofit",1,PSYCHOLOGY.,42,4227,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",43,4301,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,44,4407,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,SOCIAL SCIENCES.,45,4502,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,2.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,SOCIAL SCIENCES.,45,4503,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,4.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,SOCIAL SCIENCES.,45,4506,3,5.0,100.0,110.0,57448.0,2.0,123.0,133.0,54430.0,117.0,57265.0,,,112.0,57410.0,,,124.0,72747.0,115.0,110.0,121.0,71678.0,,,116.0,72896.0,,,5.0,122.0,56599.0,103.0,,,9.0,110.0,81529.0,,105.0,83705.0,,,105.0,81985.0,,,,51.0
Brigham Young University,3670,"Private, nonprofit",1,SOCIAL SCIENCES.,45,4507,3,3.0,31.0,35.0,39884.0,6.0,34.0,43.0,37671.0,36.0,33846.0,,,17.0,47244.0,25.0,27365.0,48.0,42790.0,36.0,30.0,44.0,43961.0,,,30.0,49013.0,,,4.0,43.0,35192.0,23.0,,,6.0,41.0,49878.0,,37.0,49204.0,,,29.0,56327.0,,,,17.0
Brigham Young University,3670,"Private, nonprofit",1,SOCIAL SCIENCES.,45,4509,3,1.0,17.0,19.0,42006.0,2.0,16.0,19.0,39369.0,19.0,54476.0,,,18.0,52603.0,,,,,,,,,,,,,,,0.0,22.0,49714.0,,,,4.0,20.0,75656.0,,19.0,71909.0,,,18.0,74037.0,,,,
Brigham Young University,3670,"Private, nonprofit",1,SOCIAL SCIENCES.,45,4510,3,2.0,55.0,65.0,41028.0,5.0,56.0,67.0,40017.0,68.0,47834.0,,,48.0,47669.0,28.0,47868.0,67.0,52654.0,51.0,42.0,57.0,52910.0,,,36.0,58795.0,31.0,32755.0,4.0,75.0,47758.0,55.0,,,11.0,71.0,67496.0,,59.0,65388.0,,,44.0,69136.0,26.0,65870.0,22.0,29.0
Brigham Young University,3670,"Private, nonprofit",1,SOCIAL SCIENCES.,45,4511,3,4.0,43.0,58.0,40751.0,7.0,50.0,60.0,34420.0,53.0,33568.0,,,23.0,47034.0,33.0,23886.0,69.0,42809.0,56.0,43.0,63.0,42700.0,,,31.0,56971.0,39.0,29473.0,9.0,56.0,33075.0,31.0,,,11.0,63.0,48204.0,43.0,53.0,41773.0,,,29.0,66602.0,34.0,34112.0,,32.0
Brigham Young University,3670,"Private, nonprofit",1,SOCIAL SCIENCES.,45,4599,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,VISUAL AND PERFORMING ARTS.,50,5003,3,4.0,,18.0,14856.0,1.0,5.0,17.0,8000.0,,,,,,,16.0,16688.0,,,,,,,,,,,,,2.0,17.0,15515.0,,,,5.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,VISUAL AND PERFORMING ARTS.,50,5004,3,9.0,62.0,83.0,39924.0,18.0,73.0,108.0,28753.0,100.0,36453.0,,,28.0,44547.0,78.0,32260.0,122.0,27819.0,105.0,73.0,114.0,27816.0,,,50.0,49037.0,72.0,5212.0,15.0,106.0,36853.0,64.0,,,29.0,94.0,46179.0,55.0,87.0,46424.0,,,48.0,66345.0,46.0,22946.0,,56.0
Brigham Young University,3670,"Private, nonprofit",1,VISUAL AND PERFORMING ARTS.,50,5005,3,3.0,,25.0,20605.0,4.0,16.0,29.0,21508.0,22.0,27602.0,,,,,,,33.0,21139.0,28.0,17.0,,,,,,,27.0,21411.0,2.0,26.0,28248.0,,,,5.0,26.0,28358.0,,22.0,25281.0,,,,,21.0,29029.0,,
Brigham Young University,3670,"Private, nonprofit",1,VISUAL AND PERFORMING ARTS.,50,5006,3,4.0,42.0,54.0,32016.0,1.0,40.0,56.0,27482.0,45.0,31150.0,,,29.0,40965.0,21.0,18838.0,56.0,34181.0,52.0,42.0,50.0,36783.0,,,26.0,49402.0,29.0,26919.0,4.0,50.0,29558.0,23.0,,,3.0,48.0,44182.0,32.0,42.0,45831.0,,,24.0,53279.0,24.0,30528.0,,21.0
Brigham Young University,3670,"Private, nonprofit",1,VISUAL AND PERFORMING ARTS.,50,5007,3,7.0,20.0,30.0,24952.0,11.0,22.0,39.0,22192.0,26.0,28665.0,,,,,28.0,30730.0,,,,,,,,,,,,,9.0,32.0,31129.0,,,,15.0,30.0,36204.0,,26.0,26251.0,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,VISUAL AND PERFORMING ARTS.,50,5009,3,6.0,,33.0,17786.0,2.0,20.0,36.0,21508.0,33.0,17258.0,,,,,22.0,16134.0,40.0,16889.0,29.0,16.0,37.0,16610.0,,,,,26.0,9638.0,7.0,34.0,17223.0,,,,6.0,38.0,32723.0,19.0,33.0,31295.0,,,16.0,59015.0,22.0,14634.0,,20.0
Brigham Young University,3670,"Private, nonprofit",1,VISUAL AND PERFORMING ARTS.,50,5099,3,0.0,,,,1.0,8.0,14.0,25194.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,HEALTH PROFESSIONS AND RELATED PROGRAMS.,51,5102,3,6.0,27.0,42.0,25153.0,7.0,23.0,50.0,17139.0,,,,,,,,,58.0,13280.0,19.0,,49.0,9954.0,,,,,54.0,11369.0,10.0,,,,,,20.0,49.0,39547.0,28.0,39.0,33966.0,,,,,44.0,35248.0,24.0,22.0
Brigham Young University,3670,"Private, nonprofit",1,HEALTH PROFESSIONS AND RELATED PROGRAMS.,51,5108,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,HEALTH PROFESSIONS AND RELATED PROGRAMS.,51,5109,3,4.0,,23.0,22165.0,2.0,21.0,35.0,26353.0,23.0,28016.0,,,,,19.0,27830.0,37.0,28716.0,30.0,19.0,33.0,29505.0,,,,,26.0,16297.0,6.0,26.0,28408.0,,,,6.0,33.0,38613.0,,30.0,41451.0,,,,,22.0,31869.0,,19.0
Brigham Young University,3670,"Private, nonprofit",1,HEALTH PROFESSIONS AND RELATED PROGRAMS.,51,5110,3,0.0,,16.0,54931.0,2.0,29.0,32.0,50677.0,21.0,60879.0,,,,,19.0,56961.0,30.0,42400.0,21.0,17.0,26.0,37965.0,,,,,21.0,30241.0,0.0,23.0,58242.0,,,,6.0,22.0,54880.0,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,HEALTH PROFESSIONS AND RELATED PROGRAMS.,51,5111,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,HEALTH PROFESSIONS AND RELATED PROGRAMS.,51,5122,3,11.0,48.0,71.0,28871.0,13.0,56.0,81.0,27126.0,88.0,26922.0,,,,,77.0,25885.0,92.0,29647.0,58.0,45.0,83.0,26591.0,,,22.0,52209.0,70.0,20106.0,19.0,94.0,27319.0,37.0,,,22.0,80.0,44870.0,51.0,65.0,42059.0,,,27.0,64496.0,53.0,34873.0,22.0,39.0
Brigham Young University,3670,"Private, nonprofit",1,HEALTH PROFESSIONS AND RELATED PROGRAMS.,51,5123,3,2.0,,16.0,28148.0,5.0,21.0,26.0,28960.0,19.0,25252.0,,,,,16.0,35872.0,29.0,16956.0,21.0,,30.0,17851.0,,,,,28.0,14481.0,8.0,19.0,28163.0,,,,8.0,22.0,23498.0,,22.0,23531.0,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,HEALTH PROFESSIONS AND RELATED PROGRAMS.,51,5131,3,3.0,,,,7.0,8.0,17.0,17162.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,12.0,21.0,34509.0,,18.0,33204.0,,,,,20.0,34847.0,,
Brigham Young University,3670,"Private, nonprofit",1,HEALTH PROFESSIONS AND RELATED PROGRAMS.,51,5138,3,6.0,85.0,102.0,50600.0,5.0,79.0,91.0,48752.0,103.0,57587.0,,,,,107.0,57657.0,89.0,35001.0,76.0,56.0,80.0,34581.0,,,,,82.0,33457.0,10.0,111.0,57610.0,,,,18.0,74.0,47274.0,49.0,64.0,46320.0,,,,,67.0,44182.0,,37.0
Brigham Young University,3670,"Private, nonprofit",1,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52,5201,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52,5202,3,0.0,65.0,68.0,63600.0,4.0,70.0,75.0,58286.0,94.0,64194.0,,,79.0,65369.0,21.0,60939.0,68.0,72699.0,63.0,60.0,65.0,72681.0,,,61.0,73834.0,,,1.0,102.0,64372.0,,,,3.0,60.0,96358.0,,56.0,97073.0,,,55.0,96495.0,,,,28.0
Brigham Young University,3670,"Private, nonprofit",1,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52,5203,3,3.0,78.0,79.0,60568.0,2.0,85.0,85.0,65524.0,60.0,63603.0,,,52.0,65210.0,,,270.0,72941.0,86.0,83.0,255.0,73208.0,16.0,76862.0,232.0,76916.0,39.0,52068.0,2.0,67.0,62338.0,,,,13.0,258.0,84993.0,,240.0,84903.0,18.0,86862.0,227.0,87159.0,32.0,72457.0,177.0,94.0
Brigham Young University,3670,"Private, nonprofit",1,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52,5206,3,0.0,29.0,31.0,63484.0,0.0,28.0,30.0,70456.0,41.0,68820.0,,,35.0,69393.0,,,29.0,83356.0,28.0,25.0,28.0,81149.0,,,23.0,79647.0,,,0.0,43.0,70080.0,,,,1.0,25.0,97349.0,,23.0,92033.0,,,20.0,92114.0,,,,
Brigham Young University,3670,"Private, nonprofit",1,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52,5207,3,2.0,18.0,21.0,51830.0,3.0,17.0,22.0,42682.0,38.0,54714.0,,,37.0,56261.0,,,26.0,43619.0,22.0,18.0,,,,,22.0,45571.0,,,1.0,39.0,53829.0,,,,2.0,23.0,58082.0,,23.0,58816.0,,,20.0,55906.0,,,,
Brigham Young University,3670,"Private, nonprofit",1,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52,5208,3,2.0,168.0,172.0,68789.0,6.0,149.0,157.0,67593.0,166.0,74379.0,,,152.0,75433.0,24.0,70708.0,158.0,82194.0,152.0,146.0,155.0,82556.0,,,152.0,82966.0,,,2.0,176.0,74883.0,,,,3.0,150.0,96161.0,,149.0,97093.0,,,147.0,96877.0,,,,67.0
Brigham Young University,3670,"Private, nonprofit",1,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52,5210,3,0.0,32.0,37.0,53041.0,1.0,34.0,37.0,57860.0,38.0,58144.0,,,26.0,59265.0,16.0,51042.0,40.0,69732.0,33.0,32.0,39.0,70308.0,,,33.0,72202.0,,,2.0,42.0,58291.0,,,,2.0,33.0,71748.0,,32.0,73011.0,,,26.0,78461.0,,,,16.0
Brigham Young University,3670,"Private, nonprofit",1,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52,5212,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,67.0,119856.0,,63.0,119660.0,,,59.0,120508.0,,,67.0,35.0
Brigham Young University,3670,"Private, nonprofit",1,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52,5213,3,0.0,,,,0.0,10.0,11.0,64990.0,17.0,78639.0,,,,,,,,,,,,,,,,,,,0.0,17.0,78809.0,,,,1.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52,5214,3,1.0,64.0,71.0,56416.0,5.0,60.0,65.0,62012.0,82.0,59066.0,,,57.0,63276.0,30.0,56580.0,67.0,65876.0,61.0,58.0,59.0,67976.0,,,46.0,69778.0,21.0,47573.0,1.0,85.0,59117.0,,,,10.0,49.0,83366.0,,43.0,82056.0,,,34.0,83894.0,,,,19.0
Brigham Young University,3670,"Private, nonprofit",1,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52,5219,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52,5220,3,1.0,32.0,32.0,67720.0,0.0,36.0,37.0,64990.0,58.0,69954.0,,,51.0,70719.0,,,38.0,75207.0,38.0,35.0,39.0,75261.0,,,37.0,74378.0,,,1.0,59.0,69456.0,,,,0.0,38.0,88304.0,,38.0,88982.0,,,37.0,87366.0,,,,23.0
Brigham Young University,3670,"Private, nonprofit",1,HISTORY.,54,5401,3,2.0,43.0,54.0,29901.0,16.0,42.0,57.0,32711.0,53.0,33756.0,,,22.0,30240.0,36.0,35486.0,66.0,29403.0,45.0,37.0,,,,,34.0,46419.0,,,3.0,59.0,33397.0,32.0,,,17.0,57.0,54987.0,,46.0,57797.0,,,33.0,63298.0,24.0,43626.0,,32.0
Snow College,3679,Public,1,ENGINEERING.,14,1409,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Snow College,3679,Public,1,VISUAL AND PERFORMING ARTS.,50,5009,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS.,01,0100,3,3.0,18.0,20.0,34857.0,1.0,13.0,15.0,32925.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",09,0901,3,1.0,29.0,38.0,28800.0,2.0,25.0,31.0,34298.0,29.0,30216.0,,,,,22.0,25022.0,43.0,36642.0,33.0,27.0,35.0,33085.0,,,,,31.0,35311.0,3.0,34.0,30187.0,16.0,,,6.0,39.0,43818.0,,31.0,44117.0,,,,,25.0,46028.0,,30.0
Southern Utah University,3678,Public,1,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,11,1101,3,0.0,,,,1.0,17.0,18.0,47260.0,,,,,,,,,19.0,53187.0,17.0,17.0,18.0,51347.0,,,,,,,0.0,,,,,,2.0,17.0,67083.0,,16.0,67835.0,,,,,,,,
Southern Utah University,3678,Public,1,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,11,1107,3,0.0,,,,2.0,14.0,16.0,52107.0,,,,,,,,,19.0,75943.0,19.0,17.0,18.0,74742.0,,,17.0,76854.0,,,0.0,,,,,,0.0,19.0,77302.0,,17.0,82930.0,,,16.0,77943.0,,,,
Southern Utah University,3678,Public,1,EDUCATION.,13,1310,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,EDUCATION.,13,1312,3,6.0,63.0,79.0,40144.0,3.0,53.0,61.0,37272.0,54.0,43624.0,,,,,64.0,43730.0,58.0,36494.0,48.0,41.0,50.0,33193.0,,,,,48.0,28781.0,3.0,64.0,43637.0,47.0,,,9.0,46.0,46941.0,,37.0,45097.0,,,,,37.0,44850.0,,37.0
Southern Utah University,3678,Public,1,EDUCATION.,13,1313,3,0.0,50.0,63.0,34949.0,6.0,62.0,68.0,38409.0,41.0,40167.0,,,,,35.0,39279.0,73.0,39061.0,60.0,50.0,63.0,38848.0,,,30.0,43285.0,43.0,31399.0,2.0,50.0,40441.0,32.0,,,10.0,68.0,48318.0,49.0,60.0,48076.0,,,33.0,50170.0,35.0,41204.0,,54.0
Southern Utah University,3678,Public,1,ENGINEERING.,14,1401,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,ENGINEERING.,14,1413,3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,ENGINEERING.,14,1419,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,ENGINEERING/ENGINEERING-RELATED TECHNOLOGIES/TECHNICIANS.,15,1500,3,0.0,,,,0.0,20.0,21.0,51273.0,,,,,,,,,21.0,53525.0,19.0,18.0,17.0,54693.0,,,19.0,58367.0,,,0.0,,,,,,0.0,19.0,70608.0,,,,,,17.0,75550.0,,,,
Southern Utah University,3678,Public,1,ENGINEERING/ENGINEERING-RELATED TECHNOLOGIES/TECHNICIANS.,15,1510,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",16,1605,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",16,1609,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,19,1901,3,7.0,21.0,34.0,24626.0,8.0,14.0,25.0,21508.0,30.0,20048.0,,,,,31.0,19442.0,,,,,,,,,,,,,7.0,34.0,19031.0,,,,13.0,23.0,34561.0,,19.0,34249.0,,,,,21.0,34784.0,,18.0
Southern Utah University,3678,Public,1,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,19,1905,3,4.0,,28.0,17444.0,1.0,11.0,20.0,20140.0,19.0,30007.0,,,,,,,22.0,22634.0,17.0,,19.0,21759.0,,,,,17.0,18389.0,1.0,23.0,25552.0,,,,4.0,18.0,36054.0,,,,,,,,,,,
Southern Utah University,3678,Public,1,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,23,2301,3,2.0,,,,1.0,12.0,18.0,21964.0,,,,,,,,,19.0,26032.0,19.0,,,,,,,,16.0,25994.0,3.0,,,,,,3.0,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",24,2401,3,6.0,29.0,52.0,25906.0,7.0,16.0,27.0,25194.0,,,,,25.0,47670.0,,,36.0,24002.0,27.0,20.0,35.0,25754.0,,,,,,,6.0,50.0,36981.0,26.0,,,8.0,36.0,32839.0,18.0,34.0,31313.0,,,,,,,,27.0
Southern Utah University,3678,Public,1,BIOLOGICAL AND BIOMEDICAL SCIENCES.,26,2601,3,6.0,34.0,49.0,25303.0,3.0,20.0,31.0,26121.0,40.0,25726.0,,,,,23.0,24850.0,35.0,26542.0,32.0,23.0,33.0,26250.0,,,20.0,37109.0,,,0.0,45.0,26616.0,17.0,,,7.0,29.0,42285.0,,25.0,42907.0,,,,,,,,20.0
Southern Utah University,3678,Public,1,MATHEMATICS AND STATISTICS.,27,2701,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,MULTI/INTERDISCIPLINARY STUDIES.,30,3099,3,2.0,20.0,25.0,34934.0,,,,,16.0,37325.0,,,,,,,,,,,,,,,,,,,3.0,20.0,40022.0,,,,2.0,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,"PARKS, RECREATION, LEISURE, FITNESS, AND KINESIOLOGY.",31,3101,3,1.0,,,,1.0,14.0,17.0,29685.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,16.0,39463.0,,,,,,,,,,,
Southern Utah University,3678,Public,1,"PARKS, RECREATION, LEISURE, FITNESS, AND KINESIOLOGY.",31,3105,3,1.0,,26.0,22528.0,,,,,26.0,22293.0,,,,,,,,,,,,,,,,,,,3.0,38.0,24369.0,,,,0.0,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,PHILOSOPHY AND RELIGIOUS STUDIES.,38,3801,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,PHYSICAL SCIENCES.,40,4005,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,PHYSICAL SCIENCES.,40,4006,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Southern Utah University,3678,Public,1,PSYCHOLOGY.,42,4201,3,5.0,37.0,56.0,23965.0,5.0,38.0,59.0,24421.0,50.0,24774.0,,,19.0,30523.0,34.0,24752.0,57.0,26873.0,46.0,34.0,49.0,25317.0,,,,,33.0,27335.0,4.0,54.0,24986.0,18.0,,,8.0,52.0,31561.0,26.0,44.0,27105.0,,,17.0,41724.0,,,,40.0
Southern Utah University,3678,Public,1,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",43,4301,3,1.0,41.0,45.0,33747.0,3.0,31.0,35.0,36992.0,34.0,36776.0,,,25.0,37307.0,,,41.0,32096.0,32.0,29.0,35.0,33885.0,,,25.0,38429.0,16.0,26897.0,1.0,38.0,36865.0,,,,5.0,42.0,43401.0,,36.0,44440.0,,,26.0,48046.0,16.0,38661.0,,27.0
