INSTNM,OPEID6,CONTROL,MAIN,CIPDEF,CIPFIELD,CIPCODE,CREDLEV,EARN_COUNT_NWNE_HI_1YR,EARN_CNTOVER150_HI_1YR,EARN_COUNT_WNE_HI_1YR,EARN_MDN_HI_1YR,EARN_COUNT_NWNE_HI_2YR,EARN_CNTOVER150_HI_2YR,EARN_COUNT_WNE_HI_2YR,EARN_MDN_HI_2YR,EARN_COUNT_PELL_WNE_1YR,EARN_PELL_WNE_MDN_1YR,EARN_COUNT_NOPELL_WNE_1YR,EARN_NOPELL_WNE_MDN_1YR,EARN_COUNT_MALE_WNE_1YR,EARN_MALE_WNE_MDN_1YR,EARN_COUNT_NOMALE_WNE_1YR,EARN_NOMALE_WNE_MDN_1YR,EARN_COUNT_NE_3YR,EARN_NE_MDN_3YR,EARN_COUNT_WNE_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_PELL_NE_3YR,EARN_PELL_NE_MDN_3YR,EARN_COUNT_NOPELL_NE_3YR,EARN_NOPELL_NE_MDN_3YR,EARN_COUNT_MALE_NE_3YR,EARN_MALE_NE_MDN_3YR,EARN_COUNT_NOMALE_NE_3YR,EARN_NOMALE_NE_MDN_3YR,EARN_COUNT_NWNE_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_GT_THRESHOLD_1YR,EARN_COUNT_HIGH_CRED_1YR,EARN_IN_STATE_1YR,EARN_COUNT_NWNE_4YR,EARN_COUNT_WNE_4YR,EARN_MDN_4YR,EARN_GT_THRESHOLD_4YR,EARN_COUNT_PELL_WNE_4YR,EARN_PELL_WNE_MDN_4YR,EARN_COUNT_NOPELL_WNE_4YR,EARN_NOPELL_WNE_MDN_4YR,EARN_COUNT_MALE_WNE_4YR,EARN_MALE_WNE_MDN_4YR,EARN_COUNT_NOMALE_WNE_4YR,EARN_NOMALE_WNE_MDN_4YR,EARN_COUNT_HIGH_CRED_4YR,EARN_IN_STATE_4YR
Brigham Young University,3670,"Private, nonprofit",1,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,11,1107,3,7.0,111.0,116.0,82667.0,3.0,98.0,99.0,83848.0,121.0,84192.0,,,115.0,86593.0,,,101.0,99723.0,96.0,91.0,98.0,99564.0,,,97.0,99486.0,,,5.0,126.0,86469.0,,,,3.0,100.0,114046.0,,98.0,111994.0,,,97.0,112261.0,,,,57.0
Brigham Young University,3670,"Private, nonprofit",1,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,11,1108,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,11,1110,3,0.0,24.0,25.0,69188.0,,,,,63.0,73946.0,,,56.0,74783.0,,,,,,,,,,,,,,,3.0,66.0,73624.0,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,EDUCATION.,13,1306,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,EDUCATION.,13,1310,3,2.0,16.0,19.0,38021.0,7.0,17.0,21.0,32569.0,17.0,42404.0,,,,,,,,,,,,,,,,,,,2.0,21.0,43375.0,,,,7.0,22.0,36162.0,,,,,,,,20.0,30266.0,,
Brigham Young University,3670,"Private, nonprofit",1,EDUCATION.,13,1312,3,20.0,46.0,67.0,36102.0,17.0,69.0,96.0,29689.0,52.0,33118.0,,,,,49.0,34067.0,109.0,10379.0,75.0,49.0,,,,,,,104.0,7342.0,15.0,55.0,39074.0,31.0,,,47.0,64.0,36968.0,35.0,59.0,39516.0,,,,,58.0,33490.0,,35.0
Brigham Young University,3670,"Private, nonprofit",1,EDUCATION.,13,1313,3,21.0,129.0,151.0,39856.0,18.0,153.0,186.0,38128.0,144.0,41917.0,,,34.0,46955.0,120.0,40130.0,190.0,33834.0,156.0,113.0,181.0,32177.0,,,47.0,48993.0,,,22.0,154.0,42659.0,105.0,,,47.0,139.0,41473.0,91.0,134.0,41472.0,,,39.0,53657.0,102.0,33505.0,,87.0
Brigham Young University,3670,"Private, nonprofit",1,ENGINEERING.,14,1407,3,3.0,70.0,73.0,67199.0,5.0,91.0,95.0,76460.0,88.0,71846.0,,,73.0,77041.0,19.0,63075.0,90.0,86347.0,83.0,79.0,86.0,86514.0,,,78.0,87932.0,,,5.0,92.0,71134.0,,,,9.0,77.0,99093.0,,74.0,99240.0,,,71.0,99912.0,,,,26.0
Brigham Young University,3670,"Private, nonprofit",1,ENGINEERING.,14,1408,3,2.0,37.0,36.0,60309.0,4.0,44.0,48.0,58221.0,38.0,64844.0,,,28.0,63017.0,,,61.0,68405.0,45.0,45.0,60.0,68289.0,,,51.0,70389.0,,,0.0,39.0,64584.0,,,,8.0,60.0,73327.0,,59.0,73416.0,,,53.0,73931.0,,,,25.0
Brigham Young University,3670,"Private, nonprofit",1,ENGINEERING.,14,1409,3,0.0,20.0,23.0,74326.0,1.0,27.0,27.0,87604.0,18.0,80083.0,,,17.0,80160.0,,,26.0,103770.0,23.0,22.0,25.0,102963.0,,,26.0,107563.0,,,1.0,18.0,79784.0,,,,2.0,26.0,127592.0,,26.0,126344.0,,,26.0,128108.0,,,,
